token_row_index,token_id,segment_id,text,text_stripped,start_sec,end_sec,duration_sec,is_empty,is_punctuation_like,prev_text,next_text,prev_end_sec,next_start_sec,gap_from_prev_sec,gap_to_next_sec,is_repeat_with_prev,near_30s_boundary,has_diar_overlap,best_overlap_sec,best_overlap_ratio,total_overlap_sec,total_overlap_ratio,best_speaker,best_diar_segment_id,speaker_count_overlapping,gap_from_prev_sec_filled
30412,30412,,,,12395.859999999999,12396.38,0.5200000000004366,True,False,,,12391.3,12396.38,4.559999999999491,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.559999999999491
28985,28985,,,,11891.0,11891.48,0.47999999999956344,True,False,,,11886.5,11891.48,4.5,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.5
25094,25094,,,,10597.5,10597.86,0.3600000000005821,True,False,,,10593.2,10597.88,4.299999999999272,0.019999999998617568,False,False,False,0.0,0.0,0.0,0.0,,,0,4.299999999999272
20214,20214,,,,7658.82,7658.82,0.0,True,False,,,7654.56,7658.82,4.259999999999309,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.259999999999309
7317,7317,,,,2413.56,2414.2,0.6399999999998727,True,False,,,2409.32,2414.2,4.239999999999782,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.239999999999782
22309,22309,,,,8487.439999999999,8487.96,0.5200000000004366,True,False,,,8483.28,8487.96,4.1599999999980355,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.1599999999980355
27886,27886,,,,11556.94,11557.24,0.2999999999992724,True,False,,,11552.8,11557.24,4.140000000001237,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.140000000001237
7489,7489,,,,2492.36,2492.94,0.5799999999999272,True,False,,,2488.22,2492.94,4.140000000000327,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.140000000000327
23651,23651,,,,9003.2,9003.84,0.6399999999994179,True,False,,,8999.16,9003.84,4.040000000000873,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.040000000000873
30964,30964,,,,12579.74,12579.82,0.07999999999992724,True,False,,,12575.72,12579.82,4.020000000000437,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.020000000000437
34285,34285,,,,13836.66,13837.18,0.5200000000004366,True,False,,,13832.76,13837.18,3.899999999999636,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.899999999999636
22333,22333,,,,8500.039999999999,8500.56,0.5200000000004366,True,False,,,8496.28,8500.56,3.7599999999983993,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.7599999999983993
22194,22194,,,,8444.82,8445.26,0.4400000000005093,True,False,,,8441.12,8445.26,3.6999999999989086,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.6999999999989086
9247,9247,,,,3650.14,3650.66,0.5199999999999818,True,False,,,3646.54,3650.66,3.599999999999909,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.599999999999909
30860,30860,,,,12549.74,12550.12,0.38000000000101863,True,False,,,12546.2,12550.12,3.539999999999054,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.539999999999054
23404,23404,,,,8913.02,8913.58,0.5599999999994907,True,False,,,8909.5,8913.58,3.5200000000004366,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.5200000000004366
32723,32723,,,,13258.02,13258.5,0.47999999999956344,True,False,,,13254.5,13258.5,3.5200000000004366,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.5200000000004366
30520,30520,,,,12441.380000000001,12441.86,0.47999999999956344,True,False,,,12437.88,12441.86,3.500000000001819,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.500000000001819
